Section,Title,Primary_Source_URL,Source_Host,Passages_Retained,Words_Retained,Compiled_By,Data_Verification_Source
1,Researches on direct injection in internal-combustion engines,https://ntrs.nasa.gov/citations/19930094424,ntrs.nasa.gov,10,1441,Advanced Engines Archive,https://advanced-engines-corp.com/#s1
2,Liquid sprays and flow studies in the direct-injection diesel engine under motored conditions,https://ntrs.nasa.gov/citations/19880009210,ntrs.nasa.gov,10,1643,Advanced Engines Archive,https://advanced-engines-corp.com/#s2
3,§ 1036.104 Criteria pollutant emission standards—NO,https://www.ecfr.gov/current/title-40/part-1036,ecfr.gov,10,1557,Advanced Engines Archive,https://advanced-engines-corp.com/#s3
4,Small engine technology programs,https://ntrs.nasa.gov/citations/19920013289,ntrs.nasa.gov,10,1363,Advanced Engines Archive,https://advanced-engines-corp.com/#s4
5,Performance and emissions characteristics of aqueous alcohol fumes in a DI diesel engine,https://ntrs.nasa.gov/citations/19830003980,ntrs.nasa.gov,10,1451,Advanced Engines Archive,https://advanced-engines-corp.com/#s5
6,Two-dimensional analysis of two-phase reacting flow in a firing direct-injection diesel engine,https://ntrs.nasa.gov/citations/19900004076,ntrs.nasa.gov,10,1598,Advanced Engines Archive,https://advanced-engines-corp.com/#s6
7,Investigation of Liquid Fuel Injection Processes in a Rotating Detonation Combustor using Megahertz Planar Laser-Induced,https://ntrs.nasa.gov/citations/20210026164,ntrs.nasa.gov,10,1631,Advanced Engines Archive,https://advanced-engines-corp.com/#s7
8,Investigation of spray dispersion and particulate formation in diesel fuel flames,https://ntrs.nasa.gov/citations/19890010844,ntrs.nasa.gov,10,1225,Advanced Engines Archive,https://advanced-engines-corp.com/#s8
9,EPA diesel fuel standards,https://www.epa.gov/diesel-fuel-standards,epa.gov,3,368,Advanced Engines Archive,https://advanced-engines-corp.com/#s9
